"name","pval","delta","DMLs","DMRs","hyper","hypo"
"p0.01_d0",0.01,0,5171923,351343,96672,254671
"p0.01_d0.05",0.01,0.05,3739947,277770,82182,195588
"p0.01_d0.1",0.01,0.1,2689854,211841,67748,144093
"p0.005_d0.1",0.005,0.1,2414859,191718,63625,128093
"p0.001_d0",0.001,0,3648215,261349,80215,181134
"p0.001_d0.1",0.001,0.1,1933230,154670,55372,99298
"p0.001_d0.2",0.001,0.2,1046043,86369,37206,49163
"p0.0005_d0.2",0.0005,0.2,961113,78907,35047,43860
"p0.05_d0",0.05,0,7241942,463574,118037,345537
"p0.05_d0.1",0.05,0.1,3599285,273697,80291,193406
"p0.05_d0.2",0.05,0.2,1985698,164247,56130,108117
"p0.05_d0.05",0.05,0.05,5033167,351749,97048,254701
"p0.01_d0.2",0.01,0.2,1461037,121424,46446,74978
"p0.005_d0",0.005,0,4605852,319208,90884,228324
"p0.005_d0.2",0.005,0.2,1307674,108589,43345,65244
"p0.005_d0.05",0.005,0.05,3355491,253171,77381,175790
"p0.001_d0.05",0.001,0.05,2680946,206642,67842,138800
"p0.0005_d0",0.0005,0,3337510,241670,76303,165367
"p0.0005_d0.1",0.0005,0.1,1773282,141808,52291,89517
"p0.0005_d0.05",0.0005,0.05,2457829,190463,64301,126162
